,fold-change person 1,fold-change person 2,fold-change person 3,fold-change person 4
GMPR,0.4862907899281347,0.5779739097785349,1.7141237329796337,1.3641935850843632
GMPR2,-0.1744529146476055,-0.38379113581546676,-0.0004006471674747168,-0.11733682329899457
GMPS,0.20413087995937024,-0.3581204791568049,0.007665689988596134,-0.25176431850301667
GPHN,-0.20093024021671846,-0.1095902882268854,0.22413145857811587,-0.47925939632563846
GUK1,0.06906474040726787,-0.20703752041586573,0.12015687779163453,0.14573358404922926
IBSP,-1.0365180274497303,inf,inf,-1.156762303189572
IMPDH1,-0.09897833152349071,-0.21063616294248905,0.05409047651422521,0.28130574455712504
IMPDH2,-0.3076539945731289,-0.42763105294366094,-0.13795508338800386,-0.14904635563422566
ITPA,-0.027411716524833426,-0.30738229120818494,-0.0875102467941369,-0.048500839508538486
MOCS1,0.08017819725936728,-0.1626636817155963,-0.9338485652673227,0.029650821041309172
MOCS2,-0.07007058716075662,0.03434635082163393,0.0268037743496626,-0.11348518668799949
NME7,-0.32571293299108367,0.15952354115466094,-0.14087931892507233,-0.11336970767619131
NUDT16,-0.14614251862422806,-0.2533199088239791,-0.09597278789691345,-0.24531273969751674
SUOX,-0.04756585434954054,-0.004031849804642671,-0.06510923165273151,-0.12715859014467432
THY1,0.240678830414159,0.04880218562601119,-1.2723670437202241,-0.08637297529817388
TPMT,0.006019086609245807,-0.2018172884232548,0.24366013209304008,0.21696822193235818
TYR,,,,
PRKG2,0.1561270504926659,0.27746479852607786,0.12376649783373676,0.9334355057820063
CYGB,-0.24863959254624973,-0.3965237639253213,-0.4460532919111166,-0.18992916712477123
MTX1,inf,0,inf,inf
CR,,,,
DDAH1,-0.24068039835180113,-0.20357025952700608,-0.20016329736489744,0.021796446586544657
DDAH2,0.06765654090470492,-0.11865335184164327,0.004074020664719464,-0.11219675075612756
ASRGL1,-0.21590335814110834,-0.5199887784624118,-0.056705313052856185,0.04872476538573329
DHNTP,,,,
DNAJC12,-0.3636827707032394,0.3277195693057735,0.40998495153579984,-0.1918350701031982
APBA2,0.5032745028370604,-0.003894265520796417,-4.045209674215027,-0.4825324643713284
FOXP2,-0.2653367179456109,-0.2155752127540391,0.8616809213934917,0.5886648697248306
ARHGEF12,-0.22510306151009862,-0.1880165348228213,0.15502960488287063,-0.07063790407949891
CDK5R1,0.12025957131566757,-0.35085407138945995,-0.036613650526641686,-0.27551359083823707
FYN,0.19465527942892774,-0.22720991323744252,-0.46779562781503703,0.2482215314253489
GPX1,-0.107665627666339,-0.2641273999087319,0.022212696107272323,0.05394147607177373
SLC6A4,inf,0,0,inf
MAGED1,-0.12205595842155179,-0.20409421120445068,0.16568056172289208,0.2918773961316571
NR4A2,0.3566981884206794,-0.1955402990239903,0.34910434605401747,0.1660757223749994
TDO2,0,inf,0,0
NR4A1,-0.20644302889204225,-0.13757270075276584,-0.022841861186572474,-0.3989632056061999
NR4A3,-1.2064430288920425,-0.42707931794775095,inf,0.6733126953681157
TG,-0.22720158905883978,-0.6148944782859522,0.4968442350368385,0.67612771097517
CADPS,inf,inf,inf,inf
CADM4,-0.340503951626736,0.04884042347811571,-0.21543426968621962,-0.279961367987244
HTR2A,0,0,inf,0
HTR2B,inf,0,0,1.4282001975315843
HTR2C,,,,
P2RX7,-1.7589840519208213,-0.23068210514424742,1.0136840148385415,0.16516579169779055
SLC2A4,-0.584954652145772,-0.33021777869516156,-3.893206580769977,-0.470870893617635
STXBP5,-0.13370741468484285,-0.16082543187986711,-0.2884387246654161,-0.11984092690778403
STXBP1,-0.2628108432865831,-0.2526811782241412,-0.5285531868847798,-0.14698128239698655
STXBP2,-0.140969191414761,-0.4311720725816338,-0.09006390999928743,-0.17596651408672356
STXBP4,0.27767878232228654,-0.4086616843180178,0.048449432999218396,-0.14686384212333406
HTR1A,,,,
HTR1B,,,,
HTR1D,0.7570310950828437,-0.10812892286028378,0.42872151411738546,0
HTR6,,,,
HTR7,-0.23028977084640986,0.1983622521284759,-0.20870840649790615,0.7818371521462849
TIPRL,-0.023730591908757592,-0.15809502462611125,0.06628569512464892,-0.0910796477344563
