,CB-C-1,CB-C-4,CB-C-5,CB-C-6,CB-C-7,CB-C-8,CB-C-9,CB-C-10,CB-SA-1,CB-SA-2,CB-SA-3,CB-SA-4,CB-SA-5,CB-SA-6,CB-SA-7,CB-SA-8,CB-SA-11
#CLASS,Control,Control,Control,Control,Control,Control,Control,Control,Infected,Infected,Infected,Infected,Infected,Infected,Infected,Infected,Infected
ENSG00000196406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196407,2383,518,770,705,2419,1708,2495,585,943,553,905,496,747,3131,278,177,537
ENSG00000196408,1,1,0,0,0,0,1,1,0,1,2,0,12,0,1,4,4
ENSG00000196411,144,20,270,31,58,43,70,31,40,52,46,67,64,58,120,244,92
ENSG00000196415,603,13,874,114,612,40,497,6681,1006,3086,221,89,108,1558,2885,6759,899
ENSG00000196417,10,4,14,9,6,9,27,7,12,6,17,30,27,4,19,31,15
ENSG00000196418,48,24,20,21,21,29,45,13,28,15,51,49,44,18,28,79,16
ENSG00000196419,1122,388,2131,536,371,373,615,618,636,428,461,861,536,410,572,1689,475
ENSG00000196420,13,6,2,7,5,2,22,2,9,0,9,29,3,14,15,16,19
ENSG00000196421,8,1,2,1,6,1,4,2,3,4,3,5,2,1,4,44,1
ENSG00000196422,49,2,98,4,1,5,5,3,4,7,4,7,6,6,15,17,9
ENSG00000196427,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
ENSG00000196428,66,28,63,122,12,31,80,23,74,28,28,55,65,12,79,119,44
ENSG00000196431,0,0,2,6,3,0,3,3,0,0,0,0,0,0,0,7,4
ENSG00000196433,0,2,1,1,9,0,0,0,10,2,9,2,0,1,3,24,2
ENSG00000196436,2,18,11,6,9,22,20,28,22,26,7,61,14,12,40,1,19
ENSG00000196437,14,5,15,26,6,14,22,21,11,9,27,28,25,11,20,47,21
ENSG00000196440,27,14,11,19,24,40,21,35,25,21,28,72,19,42,31,83,20
ENSG00000196449,52,36,121,53,10,18,40,12,49,28,31,50,35,22,56,58,24
ENSG00000196453,115,41,146,221,68,71,98,115,211,114,107,126,70,94,81,227,90
ENSG00000196455,129,108,122,98,47,86,100,59,136,127,104,182,73,111,94,248,87
ENSG00000196456,148,106,169,110,92,108,164,64,97,85,113,171,139,134,132,399,83
ENSG00000196458,24,11,11,13,5,19,17,5,11,19,13,21,22,11,18,40,12
ENSG00000196459,26,21,47,22,9,18,25,19,22,10,18,63,30,12,66,102,34
ENSG00000196460,1,0,0,1,0,0,0,0,1,1,0,2,0,0,1,3,0
ENSG00000196465,372,44,697,84,54,50,55,120,109,66,106,23,47,82,88,317,80
ENSG00000196466,4,3,9,5,3,8,7,3,9,4,9,6,6,4,21,16,5
ENSG00000196468,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2
ENSG00000196470,82,33,96,51,23,66,96,29,74,58,76,110,81,43,106,303,73
ENSG00000196472,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ENSG00000196475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196476,17,8,38,19,11,8,15,30,33,16,13,16,26,24,16,74,22
ENSG00000196482,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,12,1
ENSG00000196497,54,41,116,41,31,45,93,34,59,42,67,106,49,46,71,244,43
ENSG00000196498,243,65,268,224,439,236,193,154,222,278,208,465,279,212,228,985,300
ENSG00000196502,83,150,173,420,454,818,647,1295,271,800,305,523,224,528,1144,971,334
ENSG00000196503,1,0,1,2,0,0,1,0,0,0,0,1,0,0,0,3,0
ENSG00000196504,208,91,267,333,45,142,273,234,309,209,206,281,308,162,267,416,221
ENSG00000196505,26,13,29,27,12,19,33,16,24,24,27,67,27,18,44,52,26
ENSG00000196507,120,17,271,7,13,11,17,39,28,19,14,32,11,14,24,68,13
ENSG00000196510,146,104,247,193,59,90,156,119,123,102,125,242,142,144,145,452,122
ENSG00000196511,48,52,49,33,29,40,99,43,58,21,45,81,65,45,73,84,42
ENSG00000196517,318,165,709,1821,337,357,338,613,1724,520,345,146,327,279,330,405,456
ENSG00000196526,26,1,43,5,9,4,11,19,25,11,6,9,6,7,10,51,11
ENSG00000196531,8201,7774,10605,7993,5819,6544,11527,5707,11556,9508,10609,13665,11434,8620,11721,17594,6611
ENSG00000196533,3,1,11,2,6,4,5,24,4,5,5,2,5,5,10,30,8
ENSG00000196534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196535,191,92,221,116,106,108,162,211,174,135,104,377,152,90,357,631,140
ENSG00000196539,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
ENSG00000196542,7,3,4,4,1,8,4,0,1,7,7,6,6,4,20,19,3
ENSG00000196544,75,154,139,100,97,112,154,149,173,124,143,194,157,230,237,314,107
ENSG00000196547,674,279,996,3000,632,692,1052,529,1850,1274,881,1334,1193,767,1128,1659,1277
ENSG00000196549,57,38,72,37,19,40,73,29,36,58,47,552,160,43,117,118,148
ENSG00000196550,28,8,45,87,19,11,16,18,42,14,13,36,7,14,23,69,32
ENSG00000196553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196557,1,2,2,3,3,5,9,2,5,2,5,4,7,4,5,19,4
ENSG00000196559,0,2,0,0,1,1,0,0,0,1,0,1,1,0,1,2,1
ENSG00000196562,224,203,142,309,158,372,427,140,345,312,274,807,580,245,413,394,348
ENSG00000196564,0,0,0,1,1,0,1,5,0,7,0,0,0,2,2,3,0
ENSG00000196565,8041702,11438528,7087646,6507071,3208005,6207559,6989129,6963817,4518043,7989822,9192929,12855,5898147,5068711,5725686,7410635,8984925
ENSG00000196569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,1
ENSG00000196570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196576,377,189,775,168,285,277,202,250,243,280,222,396,352,364,298,1128,331
ENSG00000196578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196581,0,1,0,0,0,1,0,0,1,0,0,4,0,2,0,1,1
ENSG00000196584,6,3,11,10,3,2,7,6,6,4,5,8,4,2,7,22,5
ENSG00000196586,2,0,5,0,0,0,0,0,0,0,0,1,0,0,0,4,0
ENSG00000196588,144,71,218,171,126,131,233,178,292,252,167,381,248,178,314,548,234
ENSG00000196591,373,143,516,393,94,175,279,183,382,227,244,443,315,180,447,675,288
ENSG00000196593,5,10,7,12,7,7,12,10,10,6,7,31,6,8,10,29,6
ENSG00000196597,4,5,8,10,4,5,11,2,3,6,13,13,9,11,17,10,6
ENSG00000196600,4,10,10,2,4,3,8,2,8,3,6,2,5,3,5,1,2
ENSG00000196604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000196605,19,8,21,12,10,14,45,11,13,16,35,47,33,11,37,67,14
ENSG00000196611,1,0,2,0,1,0,0,0,0,0,0,0,0,2,2,4,0
ENSG00000196616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000196620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196628,6,7,18,7,8,10,14,8,9,6,13,17,14,6,10,51,11
ENSG00000196632,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
ENSG00000196636,64,48,125,43,23,89,59,20,70,54,58,56,66,36,119,113,86
ENSG00000196639,9,0,20,0,1,0,0,0,0,0,0,0,0,0,0,2,1
ENSG00000196642,384,155,657,333,175,169,315,244,285,274,241,327,199,251,403,785,193
ENSG00000196646,8,7,7,5,3,7,22,4,4,7,8,29,16,32,16,36,25
ENSG00000196652,24,13,32,25,11,13,22,13,36,15,18,25,23,12,24,43,16
ENSG00000196653,4,5,5,3,3,5,9,4,7,5,8,4,9,2,7,20,3
ENSG00000196655,175,151,339,134,80,96,160,168,176,117,132,170,160,117,219,344,133
ENSG00000196656,8004,19489,10109,59608,19332,50504,49745,74967,22490,47242,28227,30731,38018,52899,50314,113807,23961
ENSG00000196659,5,6,9,7,1,5,15,2,8,4,8,6,9,5,11,13,5
ENSG00000196660,0,1,1,6,1,0,1,2,2,1,1,1,2,1,1,2,1
ENSG00000196661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196663,44,41,97,72,53,72,157,57,220,88,28,197,131,103,134,178,208
ENSG00000196664,11,10,17,20,7,14,25,7,13,11,17,34,15,9,12,53,18
ENSG00000196666,0,0,2,0,0,1,0,3,0,1,1,3,1,0,3,2,1
ENSG00000196670,44,36,82,66,12,45,82,26,52,44,52,80,107,14,106,158,37
ENSG00000196678,14,4,45,43,12,5,31,18,32,10,17,29,36,5,18,48,33
ENSG00000196683,1538,553,1853,309,262,389,784,146,376,585,566,329,796,299,787,1228,747
ENSG00000196684,51,100,104,97,115,109,131,120,119,154,115,670,159,136,224,312,100
ENSG00000196689,9,6,10,3,1,5,9,2,5,4,8,9,7,6,9,16,4
ENSG00000196693,7,5,8,8,3,5,11,3,10,6,12,15,17,6,13,35,9
ENSG00000196700,36,15,51,16,8,26,46,10,17,24,43,27,34,26,36,92,24
ENSG00000196704,327,195,518,755,127,223,278,345,274,246,257,508,297,228,355,657,298
ENSG00000196705,21,21,48,26,15,16,46,18,55,31,23,53,55,13,34,92,23
ENSG00000196711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196712,32,15,43,22,16,21,49,42,36,16,39,109,39,15,46,98,52
ENSG00000196715,29,6,44,11,3,5,12,3,8,6,9,12,9,5,10,20,10
ENSG00000196724,68,26,16,42,10,18,30,30,35,100,40,20,21,77,46,131,22
ENSG00000196730,39,21,85,24,15,53,56,13,28,40,39,64,95,15,56,260,43
ENSG00000196734,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196735,3,1,420,63,457,390,4,531,3,504,332,13,291,371,756,1111,3
ENSG00000196739,12,0,20,1,1,1,8,3,2,2,3,3,2,0,2,28,2
ENSG00000196743,109,99,167,133,109,160,118,210,103,193,147,369,133,111,129,968,178
ENSG00000196747,42,20,181,288,46,31,119,40,292,73,104,137,173,13,128,82,61
ENSG00000196748,0,0,13,0,0,0,0,0,0,0,0,0,0,0,5,0,0
ENSG00000196754,4,0,19,2,6,0,0,0,0,0,0,8,3,0,2,1,2
ENSG00000196757,19,11,23,20,7,17,27,5,24,13,13,36,26,12,46,43,26
ENSG00000196772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196776,345,223,435,266,104,270,562,92,379,296,346,470,424,199,790,676,362
ENSG00000196778,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000196781,89,11,120,9,11,14,34,33,27,28,30,32,21,19,40,145,31
ENSG00000196782,16,5,11,12,7,15,22,5,26,19,16,30,23,10,24,24,16
ENSG00000196787,13,5,8,8,3,7,9,1,15,6,4,32,25,10,6,20,12
ENSG00000196792,25,28,43,105,23,22,40,25,75,21,33,55,46,25,41,76,40
ENSG00000196793,9,4,11,5,1,5,11,2,8,8,14,7,10,9,15,18,6
ENSG00000196796,1,0,3,19,2,1,0,1,20,1,1,1,1,0,0,3,0
ENSG00000196800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196805,7,20,3,3,3,3,0,4,3,4,0,0,18,27,3,0,0
ENSG00000196811,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,3,0
ENSG00000196812,33,20,39,31,15,16,40,22,38,22,40,51,27,15,28,63,29
ENSG00000196814,16,11,26,15,10,11,38,12,20,33,17,25,29,21,44,107,25
ENSG00000196821,430,146,793,506,192,197,309,202,672,225,220,247,249,167,240,441,170
ENSG00000196826,1,1,1,1,0,1,1,0,1,1,1,2,2,0,2,2,1
ENSG00000196832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196834,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000196839,111,139,200,126,115,177,310,150,127,161,184,190,143,254,296,454,167
ENSG00000196843,179,216,230,232,335,394,448,524,359,463,314,689,321,484,622,1045,420
ENSG00000196844,1,0,0,2,0,2,1,1,0,1,0,7,0,0,0,1,1
ENSG00000196850,41,31,51,37,12,45,75,10,54,36,47,84,84,31,93,62,56
ENSG00000196859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000196860,0,4,3,4,4,1,3,0,0,2,9,12,30,0,3,5,3
ENSG00000196862,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000196865,10,5,13,13,4,8,17,5,9,7,11,17,14,6,38,27,14
ENSG00000196866,13,0,31,10,0,0,25,7,95,41,0,28,27,0,9,0,0
ENSG00000196867,7,8,7,12,2,5,6,2,18,9,12,5,22,6,18,26,7
ENSG00000196872,5,9,4,11,6,3,13,8,17,2,8,7,4,2,18,22,8
ENSG00000196873,16,12,19,8,3,9,8,6,12,5,15,24,17,4,19,22,14
ENSG00000196876,3,0,5,1,1,1,1,0,1,1,1,1,0,0,1,1,2
ENSG00000196878,14,3,29,14,2,3,2,6,40,3,4,1,3,2,7,11,5
ENSG00000196900,0,0,0,0,0,0,2,0,0,0,0,6,6,0,0,0,0
ENSG00000196911,5,13,13,6,4,7,16,5,8,4,13,17,19,6,18,20,6
ENSG00000196912,19,18,28,18,6,9,13,9,11,23,13,32,6,6,36,44,13
ENSG00000196914,272,88,284,587,159,123,191,175,615,237,151,110,161,116,115,134,321
ENSG00000196917,2,2,2,2,2,1,2,3,3,1,1,5,2,1,1,7,1
ENSG00000196922,16,12,29,29,13,11,29,15,21,29,39,39,55,8,51,47,24
ENSG00000196923,1339,804,1687,1981,1664,1044,1302,2838,1381,1374,900,2419,1339,1380,1413,2919,1895
ENSG00000196924,1288,685,2406,750,1219,854,863,1507,1205,1845,680,2604,960,1221,1615,6158,1123
ENSG00000196932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196933,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,0
ENSG00000196935,1,1,3,0,1,1,0,1,0,1,0,3,1,0,1,10,1
ENSG00000196937,52,23,66,44,13,55,36,14,28,26,58,74,52,59,100,136,60
ENSG00000196943,78,41,152,80,36,45,74,40,61,44,55,122,63,52,81,175,54
ENSG00000196944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196946,14,0,0,0,0,0,0,0,0,0,16,0,0,17,47,18,0
ENSG00000196950,62,48,45,49,21,94,176,37,69,14,158,105,186,59,153,99,83
ENSG00000196954,657,566,816,1097,502,668,962,1214,1020,883,627,2441,1076,645,1353,2111,1083
ENSG00000196961,1688,933,1979,2035,1026,1177,1713,1659,1856,1651,1497,1639,1281,1230,1549,1436,1525
ENSG00000196967,153,125,277,174,46,64,80,43,123,89,81,79,97,40,151,211,67
ENSG00000196968,83,57,131,50,38,61,102,63,60,75,61,146,99,52,123,214,72
ENSG00000196970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196972,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0
ENSG00000196975,79,69,189,71,73,112,125,159,149,166,107,184,75,128,201,633,145
ENSG00000196976,268,179,443,94,130,132,236,131,234,153,183,133,195,173,228,406,138
ENSG00000196981,14,9,20,11,5,11,20,5,13,11,17,19,24,7,34,33,12
ENSG00000196990,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0
ENSG00000196993,2,1,5,20,1,2,5,3,12,2,3,16,8,4,6,8,7
ENSG00000196998,2185,1652,3208,3304,2783,1708,2166,1935,3597,1789,1472,3276,1531,1894,1822,2358,1820
ENSG00000197006,639,570,828,1327,427,335,701,284,1904,610,440,3119,777,415,1142,1128,637
ENSG00000197008,5,9,11,15,1,6,13,4,8,5,21,13,14,4,16,32,8
ENSG00000197013,41,53,43,103,53,32,52,44,47,25,42,97,56,18,125,120,40
ENSG00000197016,8,4,4,15,2,4,5,17,6,4,14,21,9,4,17,14,3
ENSG00000197019,46,39,84,77,22,41,43,37,94,20,33,48,38,36,58,121,42
ENSG00000197020,7,4,14,9,17,18,31,42,8,15,6,25,40,3,31,20,16
ENSG00000197021,163,107,287,170,133,104,194,133,319,158,177,132,113,113,225,384,169
ENSG00000197023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197024,30,25,47,35,17,29,55,29,49,21,68,49,56,20,69,113,40
ENSG00000197037,37,21,45,32,7,27,48,9,26,31,44,47,77,49,51,64,38
ENSG00000197038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197043,963,694,1527,708,897,916,1621,1033,1591,1028,1173,1793,1370,1119,1601,2982,877
ENSG00000197044,9,2,6,9,8,6,11,5,6,6,9,16,17,3,18,14,8
ENSG00000197045,32,19,47,19,5,34,69,3,19,27,64,56,49,15,89,50,39
ENSG00000197046,4,8,4,7,3,6,14,7,7,7,15,20,11,9,15,15,4
ENSG00000197050,11,6,17,16,5,18,30,3,15,12,35,42,31,10,31,39,11
ENSG00000197054,9,9,8,2,7,8,8,14,15,6,15,8,13,11,7,35,6
ENSG00000197056,9,6,17,8,3,9,12,2,8,12,10,16,16,5,19,17,36
ENSG00000197057,0,0,1,1,0,2,1,0,0,2,1,10,2,2,2,12,3
ENSG00000197061,66,19,153,52,21,6,26,13,36,78,7,5,14,22,48,27,8
ENSG00000197062,11,10,20,23,7,7,17,8,13,8,9,23,14,8,13,38,9
ENSG00000197063,109,33,185,231,55,50,103,106,198,81,64,85,71,48,196,191,131
ENSG00000197067,3,0,3,55,10,1,1,0,5,0,0,7,2,0,4,0,1
ENSG00000197070,386,391,448,310,351,403,636,606,614,455,507,1218,599,547,1050,1592,604
ENSG00000197077,9,2,15,3,2,1,4,1,3,4,3,3,3,4,4,6,3
ENSG00000197079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197081,107,54,161,101,60,63,95,36,126,159,54,377,178,98,141,202,275
ENSG00000197083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000197084,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197093,39,59,38,82,25,44,154,31,48,41,51,71,88,41,94,297,39
ENSG00000197102,119,37,305,98,55,46,75,52,36,133,40,97,85,81,110,283,75
ENSG00000197106,2,1,2,3,1,1,1,2,1,1,1,5,1,1,2,6,2
ENSG00000197110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197111,5481,2808,7320,5216,2969,3039,5239,2838,5056,4272,3871,5915,4795,3750,4990,6891,4037
ENSG00000197114,125,111,191,132,93,140,165,111,137,94,149,187,181,154,225,382,119
ENSG00000197119,219,118,553,226,130,156,261,115,201,230,566,617,573,355,490,427,256
ENSG00000197121,1,2,4,1,1,1,6,1,2,2,2,5,3,1,3,5,4
ENSG00000197122,106,29,165,64,27,34,25,29,96,52,43,92,70,51,66,285,70
ENSG00000197123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197124,17,3,6,36,1,2,11,0,5,0,11,3,9,1,15,46,7
ENSG00000197125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197128,10,3,17,11,2,4,14,2,6,17,9,5,32,3,18,34,15
ENSG00000197134,17,17,29,71,2,4,16,7,27,6,3,28,18,1,10,8,153
ENSG00000197136,135,73,219,164,98,113,175,119,178,152,154,263,161,158,231,554,149
ENSG00000197140,15,4,9,10,4,5,9,8,6,5,7,30,8,4,13,25,8
ENSG00000197142,57,57,109,62,49,102,102,44,78,69,85,274,118,90,131,223,85
ENSG00000197147,2,3,4,4,2,4,7,1,8,6,9,8,12,2,7,13,6
ENSG00000197149,0,1,0,0,2,0,0,0,0,6,2,0,2,0,0,6,6
ENSG00000197150,100,53,167,206,72,104,148,70,236,102,114,177,174,116,145,386,90
ENSG00000197153,0,0,25,24,3,0,12,8,4,8,0,26,7,0,20,15,13
ENSG00000197157,608,236,796,307,318,207,432,419,543,301,386,407,398,277,320,670,241
ENSG00000197161,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
ENSG00000197162,32,31,45,32,25,31,58,34,28,33,55,82,30,33,43,98,28
ENSG00000197165,3,3,4,7,8,8,11,11,6,3,5,19,7,8,21,34,10
ENSG00000197168,0,0,1,3,1,2,2,5,2,2,3,4,3,0,2,7,1
ENSG00000197170,138,47,218,330,56,72,116,93,235,93,89,164,135,78,188,310,120
ENSG00000197171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197181,1,0,1,1,1,1,1,0,2,1,1,4,1,1,2,3,1
ENSG00000197183,58,41,80,56,55,39,89,16,60,65,76,105,132,75,178,188,62
ENSG00000197185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197191,0,0,3,0,0,0,0,0,3,1,2,1,0,0,3,7,1
ENSG00000197208,506,271,831,753,469,489,715,379,661,576,541,497,495,442,516,272,575
ENSG00000197213,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0
ENSG00000197214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197217,95,103,164,112,57,124,241,54,127,127,195,261,215,74,222,419,124
ENSG00000197223,438,101,530,841,197,257,557,103,361,429,251,144,281,62,365,209,121
ENSG00000197226,359,125,550,150,107,252,264,171,205,141,271,399,315,222,428,844,259
ENSG00000197233,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197241,0,0,0,2,0,1,4,0,0,1,0,1,2,0,1,3,1
ENSG00000197245,1,0,0,1,1,0,2,4,0,2,0,2,3,0,1,10,0
ENSG00000197249,3798,3260,4328,5957,2814,4766,8287,6127,8734,5675,3344,13544,6371,3549,6937,7325,7031
ENSG00000197253,0,1,0,0,1,6,1,19,0,38,0,1,14,2,0,3,1
ENSG00000197254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197256,313,88,649,370,159,224,247,611,327,283,205,150,142,252,176,100,469
ENSG00000197258,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000197261,0,1,1,2,5,0,3,0,1,1,2,3,1,8,0,1,2
ENSG00000197265,165,62,265,66,31,71,86,65,109,35,70,131,91,81,127,231,91
ENSG00000197272,9,4,13,9,15,4,9,37,17,6,16,72,3,11,14,45,8
ENSG00000197273,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,47,0
ENSG00000197275,7,2,20,12,1,4,21,1,16,3,17,11,6,2,21,22,20
ENSG00000197279,2,3,7,7,3,1,3,4,6,1,1,2,3,2,4,15,2
ENSG00000197283,18,8,47,48,8,23,52,20,31,31,33,81,63,23,38,180,41
ENSG00000197296,21,13,36,14,7,13,27,6,14,9,17,26,14,12,19,34,10
ENSG00000197299,62,27,66,20,15,6,23,24,38,31,27,17,39,11,26,85,51
ENSG00000197302,30,42,34,57,25,23,39,13,55,24,23,66,62,25,58,100,18
ENSG00000197309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197312,93,72,111,264,73,69,114,141,165,88,72,64,102,58,85,99,179
ENSG00000197320,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ENSG00000197321,40,33,54,40,126,49,62,264,65,148,36,231,120,39,110,103,118
ENSG00000197323,81,56,75,172,38,48,88,154,92,70,58,179,81,32,142,396,151
ENSG00000197324,1383,767,1732,2296,1361,1694,2495,1280,3633,1674,1646,2281,2235,1531,2469,2054,2384
ENSG00000197329,137,138,145,113,75,206,240,84,211,177,180,393,373,160,331,348,239
ENSG00000197343,228,126,229,247,111,211,410,107,452,213,305,498,346,194,408,499,235
ENSG00000197345,374,153,695,242,123,126,147,162,203,162,179,213,219,135,131,628,146
ENSG00000197353,0,2,0,3,3,0,0,7,0,7,0,21,0,0,0,0,0
ENSG00000197355,45,20,60,21,25,32,27,18,39,25,37,66,36,36,62,150,63
ENSG00000197358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197360,0,0,1,3,0,0,6,0,0,0,0,8,2,0,7,8,0
ENSG00000197361,1,1,5,3,3,5,2,1,1,24,5,1,4,4,3,8,2
ENSG00000197362,25,11,20,12,11,25,28,9,22,28,28,29,28,17,46,54,24
ENSG00000197363,26,18,33,19,20,30,56,13,23,32,35,68,32,39,52,109,25
ENSG00000197364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197372,26,6,31,18,7,11,23,8,17,16,23,28,27,15,30,79,15
ENSG00000197375,26,5,23,30,22,28,30,11,16,15,25,80,47,18,42,68,16
ENSG00000197376,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0
ENSG00000197380,3,5,5,6,6,6,12,11,2,5,5,15,4,5,7,32,5
ENSG00000197381,66,18,89,33,27,19,50,21,43,31,61,76,74,27,72,131,63
ENSG00000197385,8,4,12,3,2,5,4,5,7,4,31,10,19,2,4,23,11
ENSG00000197386,63,39,103,72,31,67,70,30,81,97,49,133,91,32,60,189,69
ENSG00000197403,1,0,1,0,1,0,1,0,0,2,0,0,0,0,1,0,1
ENSG00000197405,596,546,643,1013,749,879,1466,1099,1352,1481,592,3006,1136,1029,1572,1781,1486
ENSG00000197406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0
ENSG00000197408,0,0,0,1,1,0,1,1,1,1,0,3,2,0,3,6,0
ENSG00000197409,0,29,0,12,38,11,60,0,39,62,0,12,38,66,53,21,77
ENSG00000197410,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0
ENSG00000197415,4,3,8,4,5,1,7,11,16,10,2,11,11,8,12,15,7
ENSG00000197416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197417,34,9,63,14,6,12,28,5,18,9,17,24,19,15,19,62,12
ENSG00000197421,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197429,27,29,33,35,31,10,43,22,25,29,21,39,54,11,28,47,15
ENSG00000197430,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000197437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197442,49,33,56,45,21,41,74,40,84,42,32,153,93,43,66,86,71
ENSG00000197444,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ENSG00000197445,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
ENSG00000197446,0,0,2,1,0,0,0,0,2,1,6,0,1,2,0,5,1
ENSG00000197448,1746,1544,1903,1954,1658,1820,2269,1999,1837,1649,1788,3323,1518,1800,2119,3870,1536
ENSG00000197451,879,260,1516,551,200,209,351,356,431,354,269,426,300,277,490,1011,352
ENSG00000197454,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0
ENSG00000197457,204,240,148,192,153,294,613,163,215,199,433,375,378,289,538,838,208
ENSG00000197461,23,8,23,9,10,5,9,7,25,8,10,8,27,17,12,77,18
ENSG00000197465,297,117,439,1551,246,147,364,580,578,443,281,40,273,224,348,305,260
ENSG00000197467,6,0,26,0,0,0,0,0,0,0,0,3,0,0,0,2,0
ENSG00000197468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
